"genus_scientific","family_scientific"
"Acacia","Fabaceae"
"Acer","Sapindaceae"
"Aesculus","Sapindaceae"
"Ailanthus","Simaroubaceae"
"Albizia","Fabaceae"
"Alnus","Betulaceae"
"Araucaria","Araucariaceae"
"Arbutus","Ericaceae"
"Betula","Betulaceae"
"Brachychiton","Malvaceae"
"Callistemon","Myrtaceae"
"Calocedrus","Cupressaceae"
"Carpinus","Betulaceae"
"Carya","Juglandaceae"
"Casuarina","Casuarinaceae"
"Catalpa","Bignoniaceae"
"Cedrus","Pinaceae"
"Celtis","Cannabaceae"
"Ceratonia","Fabaceae"
"Cercis","Fabaceae"
"Chamaerops","Arecaceae"
"Chionanthus","Oleaceae"
"Chitalpa","Bignoniaceae"
"Cinnamomum","Lauraceae"
"Citrus","Rutaceae"
"Cornus","Cornaceae"
"Corylus","Betulaceae"
"Crataegus","Rosaceae"
"Cupressocyparis","Cupressaceae"
"Cupressus","Cupressaceae"
"Diospyros","Ebenaceae"
"Dodonaea","Sapindaceae"
"Eriobotrya","Rosaceae"
"Eucalyptus","Myrtaceae"
"Fagus","Fagaceae"
"Feijoa","Myrtaceae"
"Ficus","Moraceae"
"Fortunella","Rutaceae"
"Fraxinus","Oleaceae"
"Geijera","Rutaceae"
"Ginkgo","Ginkgoaceae"
"Gleditsia","Fabaceae"
"Grevillea","Proteaceae"
"Gymnocladus","Fabaceae"
"Ilex","Aquifoliaceae"
"Jacaranda","Bignoniaceae"
"Juglans","Juglandaceae"
"Juniperus","Cupressaceae"
"Koelreuteria","Sapindaceae"
"Laburnum","Fabaceae"
"Lagerstroemia","Lythraceae"
"Laurus","Lauraceae"
"Ligustrum","Oleaceae"
"Liquidambar","Altingiaceae"
"Liriodendron","Magnoliaceae"
"Magnolia","Magnoliaceae"
"Malus","Rosaceae"
"Maytenus","Celastraceae"
"Melia","Meliaceae"
"Metasequoia","Cupressaceae"
"Morus","Moraceae"
"Musa","Musaceae"
"Nerium","Apocynaceae"
"Nyssa","Nyssaceae"
"Olea","Oleaceae"
"Ostrya","Betulaceae"
"Parrotia","Hamamelidaceae"
"Paulownia","Paulowniaceae"
"Persea","Lauraceae"
"Phoenix","Arecaceae"
"Photinia","Rosaceae"
"Picea","Pinaceae"
"Pinus","Pinaceae"
"Pistacia","Anacardiaceae"
"Platanus","Platanaceae"
"Platycladus","Cupressaceae"
"Podocarpus","Podocarpaceae"
"Populus","Salicaceae"
"Prunus","Rosaceae"
"Pseudotsuga","Pinaceae"
"Pterocarya","Juglandaceae"
"Punica","Lythraceae"
"Pyrus","Rosaceae"
"Quercus","Fagaceae"
"Rhus","Anacardiaceae"
"Robinia","Fabaceae"
"Salix","Salicaceae"
"Sapium","Euphorbiaceae"
"Schinus","Anacardiaceae"
"Sequoia","Cupressaceae"
"Sequoiadendron","Cupressaceae"
"Sophora","Fabaceae"
"Styrax","Styracaceae"
"Syagrus","Arecaceae"
"Syringa","Oleaceae"
"Taxodium","Cupressaceae"
"Taxus","Taxaceae"
"Thuja","Cupressaceae"
"Tilia","Malvaceae"
"Trachycarpus","Arecaceae"
"Ulmus","Ulmaceae"
"Umbellularia","Lauraceae"
"Unknown","Unknown"
"Vitex","Lamiaceae"
"Washingtonia","Arecaceae"
"Xylosma","Salicaceae"
"Yucca","Asparagaceae"
"Zelkova","Ulmaceae"
